NO_SEQ,NO_ENTRE_1,NOM_PUITS,ANNEE,REGION_GEO,LATITUDE_X,LATITUDE_1,LONGITUDE_,LONGITUDE1,PROFONDEUR,TYPE_PUITS,SYMBOLOGIE,F1,Number,Name,MERN_status,Year_of_drilling,Year_of_suspension,Year_of_abandon,Latitude,Longitude,Administrative_region,Geological_region,Type_of_drill,Deepest_casing_base__m_sol_ou_m,Geology_from_end_of_last_casing,Operator,Type,Plugging_status,Ground_elevation__m_mer_,Depth__m_sol_or_m_KB_,Link_to_inspection_report,Link_to_SIGPEG,ObjectID,geometry
229,A182,"SOQUIP et al., Saint-Flavien No 5",1977,(A) Basses-Terres (sols consolid5s),"46) 30' 38,8""",46.5108,"-71  36' 3,1""",-71.6009,5212 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,116,A182,"SOQUIP et al., Saint-Flavien No 5",Non-Problematic,1977,N.D.,1977,45.510778,-71.600917,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,309.0672,"Limestone, sandstone, shale, dolomite",Soquip,None,Plugged,130.1496,1588.6176,None,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A182,211,POINT (-71.600899999935 46.51079999962036)
230,A183,"SOQUIP et al., Saint-Flavien No 6",1977,(A) Basses-Terres (sols consolid6s),"46) 30' 50,9""",46.5141,"-71  34' 45,0""",-71.5792,6400 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,117,A183,"SOQUIP et al., Saint-Flavien No 6",Non-Problematic,1977,N.D.,1977,46.514111,-71.579167,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,310.896,"Limestone, sandstone, mudstone, shale, dolomite",Soquip,Gas,Plugged,134.112,1950.72,None,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A183,212,POINT (-71.57920000017981 46.51409999981519)
231,A184,"SOQUIP et al., Lyster No 1",1977,(A) Basses-Terres (sols consolid6s),"46) 24' 4""",46.4011,"-71  39' 46,3""",-71.6629,10059 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,118,A184,"SOQUIP et al., Lyster No 1",Non-Problematic,1977,1977,1982,46.40113889,-71.66286111,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,2544.1656,"Limestone, sandstone, siltstone, dolomite",Soquip,Gas,Plugged,127.1016,3065.9832,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A184_inspection_2018-11-09_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A184,213,POINT (-71.66290000013487 46.40110000036481)
232,A185,"SOQUIP Dome et al., Notre-Dame-du-Bon-Conseil No 1",1977,(A) Basses-Terres (sols consolidus),"46) 0' 41,1""",46.0114,"-72  20' 18,4""",-72.3384,14033 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,119,A185,"SOQUIP Dome et al., Notre-Dame-du-Bon-Conseil No 1",Non-Problematic,1977,N.D.,1978,46.01142,-72.33845,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,3664.0008,"Limestone, shale, dolomite",Soquip,Gas,Plugged,85.6488,4277.2584,https://sigpeg.mrn.gouv.qc.ca/rapport/A185_insp_inactif_2019-10-11_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A185,214,POINT (-72.33840000025975 46.01140000040976)
233,A186,"SOQUIP, Nicolet No 1",1977,(A) Basses-Terres (sols consolidus),"46) 11' 6""",46.185,"-72  38' 38,2""",-72.6439,4572 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,120,A186,"SOQUIP, Nicolet No 1",Non-Problematic,1977,1978,1978,46.18500722,-72.64390528,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,1392.936,Sandstone,Soquip,Gas,Plugged,24.384,1393.5456,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A186_inspection_2018-11-11_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A186,215,POINT (-72.64389999968517 46.18500000024989)
234,A187,"SOQUIP et al., Du Ch",1978,(A) Basses-Terres (sols consolidls),"46) 25' 23,3""",46.4231,"-71  50' 26,6""",-71.8407,10413 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,121,A187,"SOQUIP et al., Du Chêne No 1 (Villeroy)",Non-Problematic,1978,N.D.,1978,46.42318417,-71.84065194,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,921.7152,"Limestone, shale, sandstone, dolomite",Soquip,Gas,Plugged,124.968,3173.8824,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A187_inspection_2018-10-03_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A187,216,POINT (-71.84070000030471 46.42319999968032)
235,A188,"SOQUIP, Nicolet No 2",1978,(A) Basses-Terres (sols consolidls),"46) 12' 31,7""",46.2088,"-72  36' 31,3""",-72.6087,4623 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,122,A188,"SOQUIP, Nicolet No 2",Non-Problematic,1978,1978,1979,46.20881306,-72.6087175,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,1376.172,Sandstone,Soquip,Gas,Plugged,25.2984,1409.0904,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A188_inspection_2018-10-27_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A188,217,POINT (-72.60869999970521 46.20879999972027)
236,A189,"SOQUIP, Saint-Thomas-d'Aquin No 1",1978,(A) Basses-Terres (sols consolid1s),"45) 41' 53,5""",45.6982,"-72  59' 5,4""",-72.9848,2544 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,123,A189,"SOQUIP, Saint-Thomas-d'Aquin No 1",Non-Problematic,1978,N.D.,1978,45.69818167,-72.98481139,Montérégie,A-Basses-Terres (sols consolidés),Rotary,173,"Limestone, shale",Soquip,Gas,Plugged,35,2544,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A189_inspection_2018-10-30_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A189,218,POINT (-72.98480000021982 45.69820000022986)
237,A190,"SOQUIP, Sainte-Frantoise-Romaine No 1",1978,(A) Basses-Terres (sols consolid s),"46) 27' 4,2""",46.4512,"-71  54' 52,4""",-71.9146,2174 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,21,A190,"SOQUIP, Sainte-Françoise-Romaine No 1",Work/Repairs Needed,1978,N.D.,1981,46.451527,-71.914525,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,2008,"Shale, limestone",Soquip,Gas,Plugged,106,2174,https://sigpeg.mrn.gouv.qc.ca/rapport/A190_insp_inactif_2019-07-15_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A190,21,POINT (-71.91459999979014 46.45120000037974)
238,A191,"SOQUIP, Saint-Janvier-de-Joly No 1",1979,(A) Basses-Terres (sols consolid s),"46) 27' 57,4""",46.4659,"-71  37' 14,4""",-71.6207,2812 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,124,A191,"SOQUIP, Saint-Janvier-de-Joly No 1",Non-Problematic,1979,N.D.,1979,46.46616667,-71.62741667,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,465,"Limestone, sandstone, siltstone, shale, dolomite",Soquip,None,Plugged,140,2812,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A191_inspection_2018-11-09_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A191,219,POINT (-71.62070000020481 46.46590000018489)
239,A192,"SOQUIP, Sainte-Croix No 1 Lotbinisre",1979,(A) Basses-Terres (sols consolidis),"46) 37' 38,5""",46.6274,"-71  46' 1,3""",-71.767,1066 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,125,A192,"SOQUIP, Sainte-Croix No 1 Lotbinière",Non-Problematic,1979,N.D.,1979,46.62736222,-71.76699139,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,305,"Limestone, shale, sandstone, siltstone",Soquip,None,Plugged,67,1066,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A192_inspection_2018-10-08_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A192,220,POINT (-71.76700000014984 46.62739999961036)
240,A193,"SOQUIP, Saint-Janvier-de-Joly No 2",1979,(A) Basses-Terres (sols consolid s),"46) 29' 41,7""",46.4949,"-71  36' 53,5""",-71.6149,1142 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,126,A193,"SOQUIP, Saint-Janvier-de-Joly No 2",Non-Problematic,1979,N.D.,1979,46.49496639,-71.61512722,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,111,"Limestone, shale, sandstone, dolomite",Soquip,Gas,Plugged,129,1142,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A193_inspection_2018-11-09_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A193,221,POINT (-71.61489999983507 46.49490000023485)
241,A194,"SOQUIP, Pintendre No 1 Ldvis",1979,(A) Basses-Terres (sols consolid s),"46) 46' 49,1""",46.7803,"-71  6' 28,8""",-71.108,4047 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,22,A194,"SOQUIP, Pintendre No 1 Lévis",Work/Repairs Needed,1979,N.D.,1980,46.78057917,-71.10646639,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,1796,"Siltstone, shale, limestone, sandstone, dolomite",Soquip,None,Plugged,60,4047,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A194_inspection_2018-10-08_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A194,22,POINT (-71.10800000009988 46.7802999999451)
242,A195,"SOQUIP Pftrofina, Saint-Louis-de-Blandford No 1",1980,(A) Basses-Terres (sols consolid-s),"46) 16' 38,2""",46.2773,"-72  2' 13,6""",-72.0371,1754 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,127,A195,"SOQUIP Pétrofina, Saint-Louis-de-Blandford No 1",Non-Problematic,1980,N.D.,1980,46.27733,-72.03704,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,198,"Shale, sandstone, mudstone",Soquip,None,Plugged,99,1754,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A195_inspection_2018-09-17_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A195,222,POINT (-72.03710000026479 46.27730000019488)
245,A197,"Texaco SOQUIP, Baieville No 1 Yamaska",1980,(A) Basses-Terres (sols consolidms),"46) 10' 57""",46.1825,"-72  40' 17,0""",-72.6714,1390 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,128,A197,"Texaco SOQUIP, Baieville No 1 Yamaska",Non-Problematic,1980,1981,1982,46.18246528,-72.67134444,Centre-du-Québec,A-Basses-Terres (sols consolidés),Rotary,1190,"Sandstone, gneiss",Soquip,Gas,Plugged,6,1390,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A197_inspection_2018-09-18_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A197,223,POINT (-72.67139999981009 46.18250000007498)
248,A199,"Texaco, Yamaska-Est No 1",1981,(A) Basses-Terres (sols consolid,"46) 2' 37,9""",46.0439,"-72  55' 44,5""",-72.929,1348 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,23,A199,"Texaco, Yamaska-Est No 1",Work/Repairs Needed,1981,N.D.,1981,46.04386,-72.92903,Montérégie,A-Basses-Terres (sols consolidés),Rotary,142,"Shale, limestone, dolomite, sandstone ",Texaco Canada Ressources Ltd.,Gas,Plugged,9,1348,https://sigpeg.mrn.gouv.qc.ca/rapport/A199_insp_inactif_2019-11-11_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A199,23,POINT (-72.92899999995001 46.04389999998506)
250,A201,"SEE, Milton No 1",1985,(A) Basses-Terres (sols consolid,"45) 34' 37,4""",45.5771,"-72  37' 9,5""",-72.6193,"341,8 m/sol",Puits d'exploration oWildcato,Statut inconnu,129,A201,"SEE, Milton No 1",Non-Problematic,1985,1985,N.D.,45.58475,-72.625944,Montérégie,A-Basses-Terres (sols consolidés),Rotary,160,Quartz,Société d'Exploration de l'Estrie,None,Plugged,78,342,None,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A201,224,POINT (-72.61930000019481 45.57709999956541)
253,A203,"Tioxide, Tracy No 1",1986,(A) Basses-Terres (sols consolid,"46) 2' 10,6""",46.0363,"-73  8' 16""",-73.1378,5722 pi/KB,Puits d'exploration oWildcato,Ferms d'finitivement,130,A203,"Tioxide, Tracy No 1",Non-Problematic,1986,N.D.,1989,46.03627,-73.13778,Montérégie,A-Basses-Terres (sols consolidés),Rotary,821.1312,"Limestone, sandstone, dolomite",Ken E. Davies Associates,Gas,Plugged,10.9728,1744.0656,https://sigpeg.mrn.gouv.qc.ca/rapport/A203_insp_inactif_2019-09-25_Publique%20(2).pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A203,225,POINT (-73.13779999977015 46.03630000024486)
254,A204,"SNC Soligaz, Montrnal-Est No 1",1986,(A) Basses-Terres (sols consolid,"45) 37' 1,9""",45.6172,"-73  31' 00,7""",-73.5169,"183,35 m/sol",Puits d'exploration oWildcato,Ferms d'finitivement,34,A204,"SNC Soligaz, Montréal-Est No 1",Non-Locatable,1986,1986,1990,45.6194744,-73.5163856,Montréal,A-Basses-Terres (sols consolidés),Rotary,12,Limestone,"Terratech, division de SNC Lavalin",None,Plugged,15,183,https://sigpeg.mrn.gouv.qc.ca/rapport/A204_insp_inactif_2019-11-14_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A204,600,POINT (-73.51690000013485 45.61719999978021)
255,A205,"SNC Soligaz, Montrnal-Est No 2",1986,(A) Basses-Terres (sols consolid,"45) 36' 58,4""",45.6162,"-73  31' 0""",-73.5167,"256,75 m/sol",Puits d'exploration oWildcato,Ferms d'finitivement,131,A205,"SNC Soligaz, Montréal-Est No 2",Non-Problematic,1986,1986,1990,45.6163714,-73.5175855,Montréal,A-Basses-Terres (sols consolidés),Rotary,60.4,Limestone,"Terratech, division de SNC Lavalin",Gas,Plugged,17,257,https://sigpeg.mrn.gouv.qc.ca/rapport/A205_insp_inactif_2019-11-14_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A205,226,POINT (-73.51669999990503 45.61620000042973)
256,A206,"SNC Soligaz, Montrnal-Est No 3",1986,(A) Basses-Terres (sols consolid,"45) 37' 2,9""",45.6175,"-73  30' 24,3""",-73.5068,"183,67 m/sol",Puits d'exploration oWildcato,Ferms d'finitivement,132,A206,"SNC Soligaz, Montréal-Est No 3",Non-Problematic,1986,1986,1990,45.6172048,-73.5070852,Montréal,A-Basses-Terres (sols consolidés),Rotary,24,"Limestone, shale","Terratech, division de SNC Lavalin",Gas,Plugged,12,184,https://sigpeg.mrn.gouv.qc.ca/rapport/A206_insp_inactif_2019-11-14_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A206,227,POINT (-73.50680000021981 45.61750000012495)
257,A207,"Jaltin Lemaire, Louiseville No 2",1988,(A) Basses-Terres (sols consolid,"46) 15' 33,1""",46.2592,"-72  57' 6,6""",-72.9518,296 m/sol,Puits d'exploration oWildcato,Ferms d'finitivement,133,A207,"Jaltin Lemaire, Louiseville No 2",Non-Problematic,1988,N.D.,1995,46.259185,-72.951845,Mauricie,A-Basses-Terres (sols consolidés),Rotary,82,"Limestone, shale, sandstone, dolomite",Les Ressources Naturelles Jaltin Inc.,None,Plugged,8,296,https://sigpeg.mrn.gouv.qc.ca/rapport/A207_insp_inactif_2019-06-17_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A207,228,POINT (-72.95180000006991 46.25920000008)
258,A208,"SOQUIP Soligaz, Varennes No 1",1988,(A) Basses-Terres (sols consolid,"45) 42' 6,6""",45.7018,"-73  25' 33,4""",-73.4259,"201,67 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,134,A208,"SOQUIP Soligaz, Varennes No 1",Non-Problematic,1988,1988,2004,45.70192528,-73.42593667,Montérégie,A-Basses-Terres (sols consolidés),Rotary,19.5,Shale,Soquip,None,Plugged,9,202,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A208_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A208,229,POINT (-73.42589999988508 45.70179999987016)
259,A209,"SOQUIP Soligaz, Varennes No 2",1988,(A) Basses-Terres (sols consolid,"45) 42' 17,5""",45.7049,"-73  25' 53,9""",-73.4316,"210,7 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,135,A209,"SOQUIP Soligaz, Varennes No 2",Non-Problematic,1988,1988,2004,45.70486111,-73.43144444,Montérégie,A-Basses-Terres (sols consolidés),Rotary,50.3,Shale,Soquip,None,Plugged,10,211,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A209_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A209,230,POINT (-73.43160000013984 45.70489999983516)
260,A210,"SOQUIP Soligaz, Varennes No 3a et 3b",1988,(A) Basses-Terres (sols consolidts),"45) 42' 23,9""",45.7066,"-73  25' 41,5""",-73.4282,"210,98 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,136,A210,"SOQUIP Soligaz, Varennes No 3a et 3b",Non-Problematic,1988,1988,2004,45.70663889,-73.42819444,Montérégie,A-Basses-Terres (sols consolidés),Rotary,42.7,Shale,Soquip,None,Plugged,9,211,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A210_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A210,231,POINT (-73.4281999998301 45.70659999999003)
261,A211,"SOQUIP Soligaz, Varennes No 4",1988,(A) Basses-Terres (sols consolidts),"45) 42' 27,8""",45.7077,"-73  25' 48,5""",-73.4301,"149,5 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,137,A211,"SOQUIP Soligaz, Varennes No 4",Non-Problematic,1988,1988,2004,45.70772833,-73.43014333,Montérégie,A-Basses-Terres (sols consolidés),Rotary,50.5,Shale,Soquip,None,Plugged,8,150,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A211_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A211,232,POINT (-73.43010000021479 45.70770000035481)
262,A212,"SOQUIP Soligaz, Varennes No 5",1988,(A) Basses-Terres (sols consolidts),"45) 42' 15,3""",45.7043,"-73  25' 42,2""",-73.4284,100 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,138,A212,"SOQUIP Soligaz, Varennes No 5",Non-Problematic,1988,1988,2003,45.70422222,-73.42838889,Montérégie,A-Basses-Terres (sols consolidés),Rotary,40.4,Shale,Soquip,None,Plugged,9,100,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A212_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A212,233,POINT (-73.42840000005992 45.70430000004501)
263,A213,"SOQUIP Soligaz, Varennes No 6",1988,(A) Basses-Terres (sols consolidts),"45) 42' 27,8""",45.7077,"-73  25' 49""",-73.4303,"200,3 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,139,A213,"SOQUIP Soligaz, Varennes No 6",Non-Problematic,1988,1988,2004,45.70771306,-73.43024917,Montérégie,A-Basses-Terres (sols consolidés),Rotary,40.4,Shale,Soquip,None,Plugged,8,200,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A213_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A213,234,POINT (-73.43030000044462 45.70770000035481)
264,A214,"BVI et al., Saint-Simon No 1",1991,(A) Basses-Terres (sols consolidts),"45) 41' 31,5""",45.6921,"-72  48' 19,2""",-72.8053,4243 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,24,A214,"BVI et al., Saint-Simon No 1",Work/Repairs Needed,1991,N.D.,N.D.,45.692072,-72.805332,Montérégie,A-Basses-Terres (sols consolidés),Rotary,4242,Sandstone ,Bow Valley Industries Ltd.,Gas,Unplugged,76,4243,https://sigpeg.mrn.gouv.qc.ca/rapport/A214_insp_inactif_2019-09-12_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A214,24,POINT (-72.80529999989506 45.69210000041477)
266,A216,"Intermont SOQUIP, Villeroy No 1",1992,(A) Basses-Terres (sols consolid8s),"46) 29' 47""",46.4964,"-71  51' 22""",-71.8561,2323 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,25,A216,"Intermont SOQUIP, Villeroy No 1",Work/Repairs Needed,1992,N.D.,1992,46.49658,-71.85265,Chaudière-Appalaches,A-Basses-Terres (sols consolidés),Rotary,N.D.,Shale,Intermont,Gas,Plugged,94,2323,https://sigpeg.mrn.gouv.qc.ca/rapport/A216_insp_inactif_2019-07-15_Publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A216,25,POINT (-71.85610000001498 46.49640000015995)
267,A217,"SNC SOQUIP Soligaz, Varennes No 1",1992,(A) Basses-Terres (sols consolid1s),"45) 42' 21,8""",45.7061,"-73  25' 35,9""",-73.4266,"209,32 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,140,A217,"SNC SOQUIP Soligaz, Varennes No 1",Non-Problematic,1992,1992,2004,45.70605194,-73.42673167,Montérégie,A-Basses-Terres (sols consolidés),N.D.,32.3,Shale,SNC Lavalin,Gas,Plugged,9,209,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A217_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A217,235,POINT (-73.42659999979014 45.70610000031479)
268,A218,"SNC SOQUIP Soligaz, Varennes No 2",1992,(A) Basses-Terres (sols consolid2s),"45) 42' 17,5""",45.7049,"-73  25' 39,2""",-73.4276,"213,85 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,141,A218,"SNC SOQUIP Soligaz, Varennes No 2",Non-Problematic,1992,1992,2004,45.70486111,-73.42755556,Montérégie,A-Basses-Terres (sols consolidés),N.D.,37.5,Shale,SNC Lavalin,Gas,Plugged,9,214,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A218_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A218,236,POINT (-73.42760000003994 45.70489999983516)
269,A219,"SNC SOQUIP Soligaz, Varennes No 3",1992,(A) Basses-Terres (sols consolid3s),"45) 42' 19,8""",45.7055,"-73  25' 41,4""",-73.4282,"150,72 m/KB",Puits d'exploration oWildcato,Ferms d'finitivement,142,A219,"SNC SOQUIP Soligaz, Varennes No 3",Non-Problematic,1992,1992,2003,45.7055,-73.42816667,Montérégie,A-Basses-Terres (sols consolidés),N.D.,23.9,Shale,SNC Lavalin,None,Plugged,9,151,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A219_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A219,237,POINT (-73.4281999998301 45.70549999962532)
270,A220,"SNC SOQUIP Soligaz, Varennes No 4",1992,(A) Basses-Terres (sols consolid4s),"45) 42' 14,4""",45.704,"-73  25' 42,0""",-73.4283,155 m/KB,Puits d'exploration oWildcato,Ferms d'finitivement,143,A220,"SNC SOQUIP Soligaz, Varennes No 4",Non-Problematic,1992,1992,2003,45.70405361,-73.42839194,Montérégie,A-Basses-Terres (sols consolidés),N.D.,121,Shale,SNC Lavalin,Gas,Plugged,9,155,https://sigpeg.mrn.gouv.qc.ca/rapport/P_A220_inspection_2018-09-19_publique.pdf,https://sigpeg.mrn.gouv.qc.ca/gpg/classes/ficheDescriptive?type=popup&mode=fichePuits&menu=puit&table=GPG_ENTRE_PUITS&cle=A220,238,POINT (-73.42829999994501 45.70399999970027)
